"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C102100WA",314.435944896397,0.000120677816702129,0.056144581586315,0.990249318812378,0.999708752221059
"CAALFM_C102110CA",601.189136875657,0.00513738231180623,0.0568443446484858,0.248463735169629,0.999708752221059
"CAALFM_C102130CA",518.801697548154,0.00604918324459204,0.0563941793885357,0.507272984061613,0.999708752221059
"CAALFM_C102150WA",180.94284486817,0.00331467885680331,0.0566565203245137,0.432679516066618,0.999708752221059
"CAALFM_C102160WA",178.770979518583,0.00221373284421931,0.0552069451164112,0.863089449987286,0.999708752221059
"CAALFM_C102170CA",80.7803201578475,-0.00085897135260897,0.056214581604064,0.902344964464235,0.999708752221059
"CAALFM_C102180WA",793.183362107256,0.00414259952042884,0.0557705144351346,0.707788127699859,0.999708752221059
"CAALFM_C102190WA",548.35640572339,-2.73119458378824e-05,0.0565784523827041,0.985178410403592,0.999708752221059
"CAALFM_C102200CA",126.461823072008,-0.00104151034544593,0.055889841851525,0.908877675047956,0.999708752221059
"CAALFM_C102210WA",853.194398336414,0.0034176637320847,0.0564470553736717,0.599458378853358,0.999708752221059
"CAALFM_C102220CA",458.348913595926,0.0039028977038932,0.0563513703326532,0.607766301464206,0.999708752221059
"CAALFM_C102230WA",2183.87378584879,0.00614361620793486,0.0548830605942979,0.67733857433049,0.999708752221059
"CAALFM_C102240WA",3413.05543925499,0.00125837197200192,0.055853852415219,0.898264695867825,0.999708752221059
"CAALFM_C102250WA",1546.37426581834,-0.0270961177461588,0.0644411912409007,0.0374938113566804,0.999708752221059
"CAALFM_C102260CA",1888.28135657141,-0.0095587834278778,0.0541223710206167,0.609938163915984,0.999708752221059
"CAALFM_C102270CA",476.115285732773,-0.0036939475238709,0.0567600633658829,0.243415614007522,0.999708752221059
"CAALFM_C102280CA",458.629325154409,0.00604843271563063,0.05368349403673,0.766510835368846,0.999708752221059
"CAALFM_C102290CA",874.739338980006,-0.00235885166882569,0.0562749299242306,0.738942107550945,0.999708752221059
"CAALFM_C102300WA",269.647121010002,-0.00594584570897432,0.0561153791033284,0.570946726468362,0.999708752221059
"CAALFM_C102310CA",283.815381546999,-0.00669139579621727,0.0561312140612017,0.53599489481008,0.999708752221059
"CAALFM_C102320CA",1442.17295164627,0.00753963545953509,0.0554903420575031,0.591510255136964,0.999708752221059
"CAALFM_C102330CA",19715.3377033408,-0.00197043034385686,0.0564884203049328,0.690420078175274,0.999708752221059
"CAALFM_C102340CA",46.5806565130935,-0.0064144824743744,0.056823009852959,0.32603432323075,0.999708752221059
"CAALFM_C102350WA",855.912313982898,-0.000461291929737462,0.0562973983149324,0.938736756423836,0.999708752221059
"CAALFM_C102360CA",51.274462176211,0.00152723121733122,0.0561098543676031,0.851143107202612,0.999708752221059
"CAALFM_C102370CA",1401.1650632541,0.00218714691933271,0.0562913516349052,0.759890412243323,0.999708752221059
"CAALFM_C102380CA",139.63728924262,-0.00600830363454432,0.0558202897750361,0.605877351500814,0.999708752221059
"CAALFM_C102390WA",551.475808292576,-0.00210571902557906,0.0552881105864685,0.86373904166993,0.999708752221059
"CAALFM_C102400CA",793.691586033886,-0.00269724126108272,0.0563129967713326,0.694468650889284,0.999708752221059
"CAALFM_C102410CA",902.408307074765,-0.0167911854292932,0.057301241509713,0.323402269890784,0.999708752221059
"CAALFM_C102420CA",9537.89865612296,0.00471614445695362,0.0554286840681152,0.712561056952358,0.999708752221059
"CAALFM_C102430CA",4565.78125783437,-0.00161636370053618,0.0563455765580141,0.792312200416841,0.999708752221059
"CAALFM_C102440CA",442.425478731736,-0.00772858349898868,0.0563930579625731,0.465427213240712,0.999708752221059
"CAALFM_C102450CA",1041.8384316209,-0.000321549601661177,0.0565742290271935,0.911964747860035,0.999708752221059
"CAALFM_C102460WA",72214.4509013599,-0.00144932488743252,0.0564205967852904,0.785672962153029,0.999708752221059
"CAALFM_C102470WA",240.619384590988,-0.00210428663584182,0.0554321623384977,0.856555879711355,0.999708752221059
"CAALFM_C102480WA",5398.55145173504,-0.0102277562158219,0.0569168254192703,0.408605180644114,0.999708752221059
"CAALFM_C102490CA",655.704921155384,-0.00117105179877727,0.0564523077849008,0.813625697943897,0.999708752221059
"CAALFM_C102500WA",252.406123845741,-0.00591660230633087,0.0562345600693615,0.544163698543822,0.999708752221059
"CAALFM_C102510WA",414.694743261632,-0.00617642870484986,0.0552918828498382,0.655789920839766,0.999708752221059
"CAALFM_C102520WA",3.71743369360036,0.00119827672558779,0.0565695092506839,0.739999671138593,0.999708752221059
"CAALFM_C102530CA",2159.11214588516,-0.00128562587501469,0.0563896201568048,0.819860458390244,0.999708752221059
